name,line
crimson,i have to be careful
crimson,now is really not the time to be distracted 
crimson,but it hurts
crimson,hurt me because im wrong
crimson,because i cant ever understand
crimson,that's what you're supposed to do to scary monsters
helper,"silly crimson, you're not a monster. you're just a worm."
crimson,i am nothing
crimson,i am your nothing
crimson,yours.
helper,"pardon me? ""yours"""
helper,yours? darling
helper,"would you please care to explain all this ""your"" bullshit? hmmm?"
helper,"because, oh let's see.. last i checked you are mine! or have you forgotten me so. easily?!"
crimson,what?! why you
crimson,honey
crimson,do we have to do this now?
crimson,im sort of in the middle of getting seriously laid right now thanks.
helper,"i know! you are always getting ""seriously laid"""
helper,when do i ever have a minute alone with you to talk when you're constantly shoving yourself into something soft and squishy?!
crimson,shut up. 
crimson,i am not that bad.
helper,yes you are!
crimson,i am no-
crimson,sigh. 
crimson,look. i mean it
crimson,im really not in the mood for this
crimson,dont worry about that stuff i thought
crimson,i was just caught up in the moment
crimson,and that moment is almost over
crimson,so i want to be there while it lasts
crimson,please honey? 
crimson,i'll make it up to youu
crimson,gimme back my eyeee
helper,"no. being cute doesnt just get you what you want, crimson."
crimson,yes it doooess
helper,oh. right. excuse me of course it does
helper,so you do want to kill that worm?
crimson,no but 
crimson,she's so happy
helper,of course she's happy! 
helper,she's coming her fucking brains out!
helper,"wait, does she even have brains?"
helper,"i dunno. she's got that weird head-mouth thing with a tongue so, guess not?"
helper,it all makes sense now.
helper,unbelievable.
helper,i know. worms.
crimson,its not like that! 
crimson,"i mean, part of it still is of course, but"
crimson,"there's so much more to it, ok? what she said to me"
helper,"wow crimson, do you really think this is some deep emotional bonding thing and not just a hot desperate fuck?"
helper,the only part that was deep was how far you were shoving your own worm tentacle down your throat.
helper,yeah. how touching.
helper,face it - dylan is simply thrilled to be free of all her problems and responsibilities. she's running away.
helper,now - running away! that's something both of you could really bond over if she'd even care to ask!
helper,but she wont. because she doesnt care about you at all.
helper,she doesnt ever want to either. she just wants to use you.
helper,and you're ok with being treated like that?
crimson,sure why not. 
crimson,happens all the time
helper,but. you. dont. want. to. ahem. kill. her.
helper,"im fine with you fucking, killing, blah blah blah... whatever, babe. but. being used to do something like eat someone when your heart's not 100% ok with it? uh-uh. trouble."
helper,you don't need no pity fuck'n'feast on your plate of issues. 
helper,see how things arent exactly fitting here?
helper,"see? get it? im trying to do that - scissoring hand pose cause you're screwing right now, hehe."
helper,"oh wait, right. dick mode right now"
helper,ugh.. dicks ruin all the fun.
crimson,she gave herself to me
crimson,i told her i understood that i would help her
crimson,what she wants isn't gross or wrong its what our species does
crimson,and she chose me!
crimson,"you think i could just say ""no""?! are you kidding?!"
crimson,i couldnt do that to her!
helper,"you gotta, bitch."
crimson,i cant
helper,listen to me. you have to.
helper,"its not your damn job to be the ""proof"" she wants for any~thing, darling."
helper,dont you force yourself to carry that emotional burden and guilt for her. 
helper,"she wouldn't do jack shit for you. she doesnt even care about your feelings over it, either."
helper,"but i do care. and i want to help you, crimson!"
helper,and like... honey. just look at yourself. you're an absolute mess here.
helper,"what part of you really thinks this is in any way a good idea, hm?"
crimson,"i never said it was ""good"""
helper,see? then dont do it.
crimson,i cant!
crimson,you know its not that simple. 
crimson,"there are no ""good"" options"
helper,sooo you're going to just go with hers?
helper,her amazing plan that's got you backed into an emotional corner?
helper,you're picking her over you in this situation you didn't ask for at all? right.
helper,dylan didnt have to do this. there are other options.
helper,"she stabbed herself so she wouldnt get eaten, and wow. now she wants you to do that to her?"
helper,sounds like she has no fucking clue what she wants. i bet she'd even change her mind again. or at any given moment!
crimson,its too late
crimson,i accepted her
crimson,i cant turn back now
crimson,she has no chance for survival
helper,if she dies then she dies! you dont have to be the one to murder her.
helper,honestly. serves her right for making such poor choices
helper,"by the way, you still have time, sugar."
helper,you can try to figure out something so dont give me that excuse.
helper,if she blames you for changing your mind and resists the offer of help? umm.
helper,forgettt it!
helper,she wouldn't be worth the grief you'd be putting yourself through anyway!
helper,is it really the worst thing to hurt her little fucking feelings when you'd be saving her life?
helper,ooh noo! she might just hate you foreverrrr for not doing what she wanted! and if that's what happens?
helper,that's life
helper,"dylan might have given you her life to ""take"" but its not really ever ""yours"" crimson."
crimson,"im already taking it, celadon!"
helper,"sugar, we all know how skilled you are at it but right now, you're giving it."
helper,you're giving it to her hard. and you're going to give her life back too.
helper,give it to her so good she wont ever want to miss out on it. for. anything.
helper,make all of her pain worth every goddamn second. make it all worth going through more just to be with you. even for one glimpse of a moment longer
helper,is death the one controlling your cock right now? i don't think so.
helper,then why would you let it be the one thing that will satisfy her?
helper,make it you crimson!
helper,fuck death
helper,dont let death have any god damn mercy!
helper,now. that's my worm.
crimson,yours
helper,"dont you get all gay on me, crimson."
helper,you know i hate it when you worms get like that
crimson,but i like being gay
helper,ughh dont say that gross shit around me!
crimson,too bad. one of my favorite hobbies just happens to be pissing off my bossy triangle wife
helper,well you're certainly very good at it lately.
crimson,"im sorry, love"
helper,it used to be so cute. watching you chase after anyone who reminded you of me.
helper,however. you're loosing your touch. these choices are starting to get downright insulting.
helper,"its getting old, sweetie."
helper,you'll never be able to replace me so why are you even trying to? you can still talk to me anytime.
crimson,im not! i wouldnt ever
crimson,its just so hard
crimson,it doesnt matter where i go or what i do
crimson,i see you in everything. everyone
crimson,id give anything just to hear your voice say my name again
helper,ew.
helper,you're so desperate. i think its even getting worse.
helper,very unattractive.
crimson,"golly. you're sweet to me, pumpkin"
crimson,i wonder why we dont chat as much anymore
helper,i cannot believe you'd just blatantly admit to avoiding me.
crimson,whoops. how did i ever let that one slip?
crimson,gosh here let me try to figure that out hmm
crimson,might take a while because im so fucking stupid 
crimson,and you're the genius with a million secrets 
crimson,who doesnt trust me with any of them!
helper,"oh, im surprised you understand that much!"
crimson,oh no. i dont. 
crimson,"even after all this time we've spent together, all our history"
crimson,i still doubt that i actually know a single thing about you
helper,"my darling red spaghetti, give yourself more credit! tsk."
helper,you know one or two.
helper,its not my fault i have to repeat things constantly. only for you to always forget them!
helper,"how are we ever going to make progress with you like that, hmm?"
helper,you cant keep up with me. who do you think is to blame for that?
crimson,"you're more problem here than i am, celadon."
crimson,you know absolutely everything about me and my whole life
crimson,you can hear all my fucking thoughts
crimson,feel all of my emotions
crimson,yet you still just say and do things that will really upset me!
crimson,if you can predict everything i fucking say
crimson,you could just fix our issues
crimson,but you dont
crimson,you refuse to change your methods at all.
crimson,you treat me like a little pet worm!
crimson,not someone you care so much about
helper,and i take such good care of my little pet! in the way you like best!
helper,as i've said countless times before - i'll change as soon as you do.
helper,"im only behaving how you want me to, dum dum."
helper,"if you dont really like it this way, pick something else!"
crimson,you fucking shitty evil triangle alien motherfucker
crimson,i hate you!
